Unidades,Chamadas Atendidas,Simples (Chatbot),Complexas (Humano),Tempo médio de espera (min),Tempo médio de serviço (min)
3,5000,44,4956,30281.356126749826,46.56902498023809
5,5000,44,4956,14128.588390054589,44.29436561323918
8,5000,44,4956,5583.694838939502,44.190153133987394
10,5000,44,4956,2790.349156493328,42.78123461159489
